suite,shape,relations,variant,selected_algorithm,query_id,repetition,operations,duration_ns,candidate_operators,connected_subgraphs,dp_states_created,repaired_subproblems
random_tree_algorithms,random_tree,2000,goo_dp,goo_linearized_dp,2,1,1,389898916,13545,,4510,27
random_tree_algorithms,random_tree,2000,goo_dp,goo_linearized_dp,2,2,1,387024125,13545,,4510,27
random_tree_algorithms,random_tree,5000,adaptive,goo_linearized_dp,0,0,1,2095170958,32869,,10035,66
random_tree_algorithms,random_tree,5000,adaptive,goo_linearized_dp,0,1,1,2125976167,32869,,10035,66
random_tree_algorithms,random_tree,5000,adaptive,goo_linearized_dp,0,2,1,2117112833,32869,,10035,66
random_tree_algorithms,random_tree,5000,goo_dp,goo_linearized_dp,0,0,1,2085536834,32869,,10035,66
random_tree_algorithms,random_tree,5000,goo_dp,goo_linearized_dp,0,1,1,2039910625,32869,,10035,66
random_tree_algorithms,random_tree,5000,goo_dp,goo_linearized_dp,0,2,1,2090291667,32869,,10035,66
random_tree_algorithms,random_tree,5000,adaptive,goo_linearized_dp,1,0,1,2031451875,32615,,10091,67
random_tree_algorithms,random_tree,5000,adaptive,goo_linearized_dp,1,1,1,2037878083,32615,,10091,67
random_tree_algorithms,random_tree,5000,adaptive,goo_linearized_dp,1,2,1,2048391834,32615,,10091,67
random_tree_algorithms,random_tree,5000,goo_dp,goo_linearized_dp,1,0,1,1984319292,32615,,10091,67
random_tree_algorithms,random_tree,5000,goo_dp,goo_linearized_dp,1,1,1,1975145583,32615,,10091,67
random_tree_algorithms,random_tree,5000,goo_dp,goo_linearized_dp,1,2,1,1987383875,32615,,10091,67
random_tree_algorithms,random_tree,5000,adaptive,goo_linearized_dp,2,0,1,2000352750,33346,,10057,62
random_tree_algorithms,random_tree,5000,adaptive,goo_linearized_dp,2,1,1,2006058625,33346,,10057,62
random_tree_algorithms,random_tree,5000,adaptive,goo_linearized_dp,2,2,1,2000521334,33346,,10057,62
random_tree_algorithms,random_tree,5000,goo_dp,goo_linearized_dp,2,0,1,1930053708,33346,,10057,62
random_tree_algorithms,random_tree,5000,goo_dp,goo_linearized_dp,2,1,1,1930510500,33346,,10057,62
random_tree_algorithms,random_tree,5000,goo_dp,goo_linearized_dp,2,2,1,1932153667,33346,,10057,62
adaptive_topologies,chain,10,adaptive,dphyp,0,0,1,135875,165,,55,0
adaptive_topologies,chain,10,adaptive,dphyp,0,1,1,118959,165,,55,0
adaptive_topologies,chain,10,adaptive,dphyp,0,2,1,114750,165,,55,0
adaptive_topologies,star,10,adaptive,dphyp,0,0,1,1072208,2304,,521,0
adaptive_topologies,star,10,adaptive,dphyp,0,1,1,1002458,2304,,521,0
adaptive_topologies,star,10,adaptive,dphyp,0,2,1,1041625,2304,,521,0
adaptive_topologies,chain,20,adaptive,dphyp,0,0,1,1073709,1330,210,210,0
adaptive_topologies,chain,20,adaptive,dphyp,0,1,1,1071292,1330,210,210,0
adaptive_topologies,chain,20,adaptive,dphyp,0,2,1,1068625,1330,210,210,0
adaptive_topologies,star,20,adaptive,linearized_dp,0,0,1,5683625,38,,39,0
adaptive_topologies,star,20,adaptive,linearized_dp,0,1,1,5692125,38,,39,0
adaptive_topologies,star,20,adaptive,linearized_dp,0,2,1,5663166,38,,39,0
adaptive_topologies,chain,30,adaptive,dphyp,0,0,1,4144208,4495,465,465,0
adaptive_topologies,chain,30,adaptive,dphyp,0,1,1,4112333,4495,465,465,0
adaptive_topologies,chain,30,adaptive,dphyp,0,2,1,4170917,4495,465,465,0
adaptive_topologies,star,30,adaptive,linearized_dp,0,0,1,7815625,58,,59,0
adaptive_topologies,star,30,adaptive,linearized_dp,0,1,1,7800792,58,,59,0
adaptive_topologies,star,30,adaptive,linearized_dp,0,2,1,7792417,58,,59,0
adaptive_topologies,chain,40,adaptive,dphyp,0,0,1,11038209,10660,820,820,0
adaptive_topologies,chain,40,adaptive,dphyp,0,1,1,11047709,10660,820,820,0
adaptive_topologies,chain,40,adaptive,dphyp,0,2,1,11054500,10660,820,820,0
adaptive_topologies,star,40,adaptive,linearized_dp,0,0,1,10189584,78,,79,0
adaptive_topologies,star,40,adaptive,linearized_dp,0,1,1,10130292,78,,79,0
adaptive_topologies,star,40,adaptive,linearized_dp,0,2,1,10194666,78,,79,0
adaptive_topologies,chain,70,adaptive,dphyp,0,0,1,81213167,57155,2485,2485,0
adaptive_topologies,chain,70,adaptive,dphyp,0,1,1,81118458,57155,2485,2485,0
adaptive_topologies,chain,70,adaptive,dphyp,0,2,1,81609375,57155,2485,2485,0
adaptive_topologies,star,70,adaptive,linearized_dp,0,0,1,18696875,138,,139,0
adaptive_topologies,star,70,adaptive,linearized_dp,0,1,1,18653250,138,,139,0
adaptive_topologies,star,70,adaptive,linearized_dp,0,2,1,18651916,138,,139,0
adaptive_topologies,chain,100,adaptive,dphyp,0,0,1,327761750,166650,5050,5050,0
adaptive_topologies,chain,100,adaptive,dphyp,0,1,1,327637042,166650,5050,5050,0
adaptive_topologies,chain,100,adaptive,dphyp,0,2,1,327270959,166650,5050,5050,0
adaptive_topologies,star,100,adaptive,linearized_dp,0,0,1,30352834,198,,199,0
adaptive_topologies,star,100,adaptive,linearized_dp,0,1,1,30228542,198,,199,0
adaptive_topologies,star,100,adaptive,linearized_dp,0,2,1,30235000,198,,199,0
adaptive_topologies,chain,128,adaptive,dphyp,0,0,1,853935417,349504,8256,8256,0
adaptive_topologies,chain,128,adaptive,dphyp,0,1,1,853192708,349504,8256,8256,0
adaptive_topologies,chain,128,adaptive,dphyp,0,2,1,852311167,349504,8256,8256,0
adaptive_topologies,star,128,adaptive,goo_linearized_dp,0,0,1,94664542,8410,,256,2
adaptive_topologies,star,128,adaptive,goo_linearized_dp,0,1,1,90251500,8410,,256,2
adaptive_topologies,star,128,adaptive,goo_linearized_dp,0,2,1,90295375,8410,,256,2
adaptive_topologies,chain,192,adaptive,goo_linearized_dp,0,0,1,851360375,131794,,6244,3
adaptive_topologies,chain,192,adaptive,goo_linearized_dp,0,1,1,832377333,131794,,6244,3
adaptive_topologies,chain,192,adaptive,goo_linearized_dp,0,2,1,874124458,131794,,6244,3
adaptive_topologies,star,192,adaptive,goo_linearized_dp,0,0,1,244392459,18810,,384,2
adaptive_topologies,star,192,adaptive,goo_linearized_dp,0,1,1,243258417,18810,,384,2
adaptive_topologies,star,192,adaptive,goo_linearized_dp,0,2,1,242320709,18810,,384,2
adaptive_topologies,clique,10,adaptive,dphyp,0,0,1,122506833,83653,,1023,0
adaptive_topologies,clique,10,adaptive,dphyp,0,1,1,122342458,83653,,1023,0
adaptive_topologies,clique,10,adaptive,dphyp,0,2,1,121157583,83653,,1023,0
adaptive_topologies,clique,20,adaptive,linearized_dp,0,0,1,36977583,1520,,210,0
adaptive_topologies,clique,20,adaptive,linearized_dp,0,1,1,36576291,1520,,210,0
adaptive_topologies,clique,20,adaptive,linearized_dp,0,2,1,36621750,1520,,210,0
adaptive_topologies,clique,30,adaptive,linearized_dp,0,0,1,85707375,4930,,465,0
adaptive_topologies,clique,30,adaptive,linearized_dp,0,1,1,84277375,4930,,465,0
adaptive_topologies,clique,30,adaptive,linearized_dp,0,2,1,84190041,4930,,465,0
adaptive_topologies,clique,40,adaptive,linearized_dp,0,0,1,206385250,11440,,820,0
adaptive_topologies,clique,40,adaptive,linearized_dp,0,1,1,204039916,11440,,820,0
adaptive_topologies,clique,40,adaptive,linearized_dp,0,2,1,203149375,11440,,820,0
adaptive_topologies,clique,70,adaptive,linearized_dp,0,0,1,2073192208,59570,,2485,0
adaptive_topologies,clique,70,adaptive,linearized_dp,0,1,1,2054426875,59570,,2485,0
