suite,shape,relations,variant,selected_algorithm,query_id,repetition,operations,duration_ns,candidate_operators
random_tree_algorithms,random_tree,128,adaptive,GooDp,8,0,1,113505833,10747
random_tree_algorithms,random_tree,128,linearized_dp,LinearizedDp,8,0,1,4898792,149
random_tree_algorithms,random_tree,128,goo_dp,GooDp,8,0,1,113257666,10747
random_tree_algorithms,random_tree,128,adaptive,GooDp,9,0,1,115830917,11288
random_tree_algorithms,random_tree,128,linearized_dp,LinearizedDp,9,0,1,5430542,318
random_tree_algorithms,random_tree,128,goo_dp,GooDp,9,0,1,115886333,11288
random_tree_algorithms,random_tree,192,adaptive,GooDp,0,0,1,642990500,21533
random_tree_algorithms,random_tree,192,linearized_dp,LinearizedDp,0,0,1,15595458,242
random_tree_algorithms,random_tree,192,goo_dp,GooDp,0,0,1,635691792,21533
random_tree_algorithms,random_tree,192,adaptive,GooDp,1,0,1,634388958,22240
random_tree_algorithms,random_tree,192,linearized_dp,LinearizedDp,1,0,1,15236250,197
random_tree_algorithms,random_tree,192,goo_dp,GooDp,1,0,1,632610459,22240
random_tree_algorithms,random_tree,192,adaptive,GooDp,2,0,1,608215709,22410
random_tree_algorithms,random_tree,192,linearized_dp,LinearizedDp,2,0,1,15657334,223
random_tree_algorithms,random_tree,192,goo_dp,GooDp,2,0,1,613628000,22410
random_tree_algorithms,random_tree,192,adaptive,GooDp,3,0,1,661685458,22924
random_tree_algorithms,random_tree,192,linearized_dp,LinearizedDp,3,0,1,15947625,211
random_tree_algorithms,random_tree,192,goo_dp,GooDp,3,0,1,660893583,22924
random_tree_algorithms,random_tree,192,adaptive,GooDp,4,0,1,664073750,23180
random_tree_algorithms,random_tree,192,linearized_dp,LinearizedDp,4,0,1,15746291,215
random_tree_algorithms,random_tree,192,goo_dp,GooDp,4,0,1,664476833,23180
random_tree_algorithms,random_tree,192,adaptive,GooDp,5,0,1,658313292,23984
random_tree_algorithms,random_tree,192,linearized_dp,LinearizedDp,5,0,1,15792250,221
random_tree_algorithms,random_tree,192,goo_dp,GooDp,5,0,1,657203292,23984
random_tree_algorithms,random_tree,192,adaptive,GooDp,6,0,1,629615667,21614
random_tree_algorithms,random_tree,192,linearized_dp,LinearizedDp,6,0,1,16009667,210
random_tree_algorithms,random_tree,192,goo_dp,GooDp,6,0,1,629182084,21614
random_tree_algorithms,random_tree,192,adaptive,GooDp,7,0,1,634856500,22753
random_tree_algorithms,random_tree,192,linearized_dp,LinearizedDp,7,0,1,15875000,297
random_tree_algorithms,random_tree,192,goo_dp,GooDp,7,0,1,635812125,22753
random_tree_algorithms,random_tree,192,adaptive,GooDp,8,0,1,631327834,23248
random_tree_algorithms,random_tree,192,linearized_dp,LinearizedDp,8,0,1,15786083,213
random_tree_algorithms,random_tree,192,goo_dp,GooDp,8,0,1,631412834,23248
random_tree_algorithms,random_tree,192,adaptive,GooDp,9,0,1,651526458,24481
random_tree_algorithms,random_tree,192,linearized_dp,LinearizedDp,9,0,1,16547834,382
random_tree_algorithms,random_tree,192,goo_dp,GooDp,9,0,1,649761375,24481
random_tree_algorithms,random_tree,256,adaptive,GooDp,0,0,1,2314117541,36777
random_tree_algorithms,random_tree,256,linearized_dp,LinearizedDp,0,0,1,36762542,306
random_tree_algorithms,random_tree,256,goo_dp,GooDp,0,0,1,2314940708,36777
random_tree_algorithms,random_tree,256,adaptive,GooDp,1,0,1,2363991375,38496
random_tree_algorithms,random_tree,256,linearized_dp,LinearizedDp,1,0,1,36773334,263
random_tree_algorithms,random_tree,256,goo_dp,GooDp,1,0,1,2363736250,38496
random_tree_algorithms,random_tree,256,adaptive,GooDp,2,0,1,2247534000,38753
random_tree_algorithms,random_tree,256,linearized_dp,LinearizedDp,2,0,1,36276667,289
random_tree_algorithms,random_tree,256,goo_dp,GooDp,2,0,1,2255795292,38753
random_tree_algorithms,random_tree,256,adaptive,GooDp,3,0,1,2300875292,37670
random_tree_algorithms,random_tree,256,linearized_dp,LinearizedDp,3,0,1,36340125,277
random_tree_algorithms,random_tree,256,goo_dp,GooDp,3,0,1,2266394208,37670
random_tree_algorithms,random_tree,256,adaptive,GooDp,4,0,1,2407145083,39080
random_tree_algorithms,random_tree,256,linearized_dp,LinearizedDp,4,0,1,36578166,279
random_tree_algorithms,random_tree,256,goo_dp,GooDp,4,0,1,2407135084,39080
random_tree_algorithms,random_tree,256,adaptive,GooDp,5,0,1,2353833416,38645
random_tree_algorithms,random_tree,256,linearized_dp,LinearizedDp,5,0,1,36577041,285
random_tree_algorithms,random_tree,256,goo_dp,GooDp,5,0,1,2334982542,38645
random_tree_algorithms,random_tree,256,adaptive,GooDp,6,0,1,2332683708,38463
random_tree_algorithms,random_tree,256,linearized_dp,LinearizedDp,6,0,1,36605500,274
random_tree_algorithms,random_tree,256,goo_dp,GooDp,6,0,1,2331662292,38463
random_tree_algorithms,random_tree,256,adaptive,GooDp,7,0,1,2269324416,39377
random_tree_algorithms,random_tree,256,linearized_dp,LinearizedDp,7,0,1,37229500,361
random_tree_algorithms,random_tree,256,goo_dp,GooDp,7,0,1,2270826709,39377
random_tree_algorithms,random_tree,256,adaptive,GooDp,8,0,1,2346221667,38731
random_tree_algorithms,random_tree,256,linearized_dp,LinearizedDp,8,0,1,36869042,277
random_tree_algorithms,random_tree,256,goo_dp,GooDp,8,0,1,2340849750,38731
random_tree_algorithms,random_tree,256,adaptive,GooDp,9,0,1,2385887542,37958
random_tree_algorithms,random_tree,256,linearized_dp,LinearizedDp,9,0,1,37328042,446
random_tree_algorithms,random_tree,256,goo_dp,GooDp,9,0,1,2419318000,37958
random_tree_algorithms,random_tree,10,dphyp,DpHyp,0,0,1,249750,464
random_tree_algorithms,random_tree,10,dphyp,DpHyp,1,0,1,377166,873
random_tree_algorithms,random_tree,10,dphyp,DpHyp,2,0,1,129542,240
random_tree_algorithms,random_tree,10,dphyp,DpHyp,3,0,1,215208,426
random_tree_algorithms,random_tree,10,dphyp,DpHyp,4,0,1,232750,482
